,French,English
0,partie,part
1,histoire,history
2,seulement,only
3,police,police
4,pensais,thought
5,demande,request
6,genre,kind
7,frère,brother
8,laisser,let
9,car,because
10,mettre,to put
11,aucun,no
12,laisse,leash
13,eux,them
14,ville,city
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,heures,hours
20,vont,will
21,pendant,while
22,aucune,any
23,parle,speak
24,compris,understood
25,étaient,were
26,attention,Warning
27,voici,here is
28,pourrais,could
29,affaire,case
30,donner,give
31,type,type
32,leurs,their
33,donné,given
34,corps,body
35,endroit,place
36,yeux,eyes
37,façon,way
38,écoute,listen
39,dont,whose
40,trouve,find
41,premier,first
42,perdu,lost
43,main,hand
44,première,first
45,sois,be
46,tiens,here
47,matin,morning
48,point,point
49,venu,came
50,suite,after
51,pardon,sorry
52,venez,come
53,devant,in front of
54,vers,towards
55,minutes,minutes
56,demandé,request
57,chambre,bedroom
58,mis,placed
59,belle,beautiful
60,droit,law
61,aimerais,would like to
62,aujourd'hui,today
63,mari,husband
64,cause,cause
65,enfin,finally
66,espère,hope
67,eau,water
68,attendez,Wait
69,parti,left
70,nouvelle,new
71,boulot,job
72,arrêter,Stop
73,dirait,would say
74,terre,Earth
75,compte,account
76,donne,given
77,loin,far
78,fin,end
79,croire,believe
80,chérie,sweetheart
81,gros,large
82,plutôt,rather
83,aura,will have
84,bureau,office
